iter	Passed	Remaining
0	4	923
1	9	928
2	14	920
3	18	915
4	23	907
5	27	899
6	32	894
7	37	892
8	41	887
9	46	881
10	51	881
11	56	879
12	60	871
13	65	867
14	69	855
15	72	838
16	76	822
17	79	803
18	82	784
19	85	766
20	87	746
21	90	729
22	92	713
23	94	696
24	97	680
25	99	664
26	101	649
27	103	635
28	105	621
29	107	608
30	109	597
31	111	585
32	113	574
33	115	563
34	117	554
35	119	545
36	121	536
37	123	528
38	125	519
39	127	511
40	129	503
41	132	496
42	134	489
43	136	482
44	138	475
45	140	469
46	142	462
47	144	456
48	146	450
49	148	444
50	150	438
51	152	432
52	154	427
53	155	421
54	157	416
55	159	411
56	161	406
57	164	401
58	165	396
59	167	391
60	169	387
61	171	382
62	173	377
63	175	373
64	177	369
65	179	364
66	181	360
67	183	356
68	185	352
69	187	348
70	189	344
71	191	340
72	193	336
73	195	333
74	197	329
75	199	326
76	201	322
77	203	318
78	205	315
79	207	311
80	209	308
81	211	305
82	214	301
83	215	298
84	218	294
85	219	291
86	221	288
87	224	285
88	225	281
89	227	278
90	229	275
91	231	272
92	233	269
93	235	266
94	238	263
95	240	260
96	242	256
97	244	253
98	246	250
99	248	248
100	250	245
101	252	242
102	254	239
103	256	236
104	258	233
105	260	230
106	262	227
107	264	224
108	266	222
109	268	219
110	270	216
111	272	214
112	274	211
113	276	208
114	278	205
115	280	203
116	282	200
117	284	197
118	286	195
119	289	192
120	291	190
121	293	187
122	295	184
123	297	182
124	299	179
125	301	177
126	303	174
127	305	172
128	307	169
129	309	166
130	311	164
131	313	161
132	315	159
133	317	156
134	319	154
135	321	151
136	323	148
137	326	146
138	328	143
139	329	141
140	331	138
141	333	136
142	335	133
143	338	131
144	340	129
145	342	126
146	344	124
147	346	121
148	348	119
149	350	116
150	352	114
151	354	111
152	356	109
153	358	107
154	360	104
155	362	102
156	364	99
157	366	97
158	368	95
159	370	92
160	372	90
161	374	87
162	376	85
163	378	83
164	380	80
165	382	78
166	384	76
167	386	73
168	388	71
169	390	68
170	392	66
171	394	64
172	396	61
173	399	59
174	401	57
175	403	54
176	405	52
177	407	50
178	409	48
179	411	45
180	413	43
181	415	41
182	417	38
183	419	36
184	421	34
185	423	31
186	425	29
187	427	27
188	429	24
189	431	22
190	433	20
191	435	18
192	437	15
193	439	13
194	441	11
195	443	9
196	445	6
197	447	4
198	449	2
199	451	0
